last_updated,name,address,rating,description,distance,place_id,hours,allHours
2025-04-24T13:54:57.815523,Tuscany on Taylor,"1014 West Taylor Street, Chicago",4.6,,0.26,ChIJV4wnQOQsDogRdGo2O6bsRVc,"Monday: Closed
Tuesday: Closed
Wednesday: 4:00 – 9:00 PM
Thursday: 4:00 – 9:00 PM
Friday: 4:00 – 10:00 PM
Saturday: 4:00 – 10:00 PM
Sunday: 4:00 – 9:00 PM","Monday: Closed
Tuesday: Closed
Wednesday: 4:00 – 9:00 PM
Thursday: 4:00 – 9:00 PM
Friday: 4:00 – 10:00 PM
Saturday: 4:00 – 10:00 PM
Sunday: 4:00 – 9:00 PM"
2025-04-24T13:54:57.947514,Curry On Fire indian Cuisine,"1030 West Taylor Street, Chicago",3.8,,0.28,ChIJ2YUlE-QsDogRXkK0Dq661W8,"Monday: Closed
Tuesday: Closed
Wednesday: 12:30 – 9:00 PM
Thursday: 12:30 – 9:00 PM
Friday: 12:30 – 9:00 PM
Saturday: 12:30 – 9:00 PM
Sunday: 12:30 – 9:00 PM","Monday: Closed
Tuesday: Closed
Wednesday: 12:30 – 9:00 PM
Thursday: 12:30 – 9:00 PM
Friday: 12:30 – 9:00 PM
Saturday: 12:30 – 9:00 PM
Sunday: 12:30 – 9:00 PM"
2025-04-24T13:54:58.072315,Fontano's Subs,"1058 West Polk Street, Chicago",4.7,,0.28,ChIJG5qZS-EsDogRzJ1usu42NU8,"Monday: 9:00 AM – 6:00 PM
Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 4:00 PM
Sunday: Closed","Monday: 9:00 AM – 6:00 PM
Tuesday: 9:00 AM – 6:00 PM
Wednesday: 9:00 AM – 6:00 PM
Thursday: 9:00 AM – 6:00 PM
Friday: 9:00 AM – 6:00 PM
Saturday: 9:00 AM – 4:00 PM
Sunday: Closed"
2025-04-24T13:54:58.175715,Carm's Beef and Italian Ice,"1057 West Polk Street, Chicago",4.4,,0.28,ChIJT_CyTeEsDogRciE_sfwxlBE,"Monday: 9:00 AM – 7:30 PM
Tuesday: 9:00 AM – 7:30 PM
Wednesday: 9:00 AM – 7:30 PM
Thursday: 9:00 AM – 7:30 PM
Friday: 9:00 AM – 7:30 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: Closed","Monday: 9:00 AM – 7:30 PM
Tuesday: 9:00 AM – 7:30 PM
Wednesday: 9:00 AM – 7:30 PM
Thursday: 9:00 AM – 7:30 PM
Friday: 9:00 AM – 7:30 PM
Saturday: 9:00 AM – 5:00 PM
Sunday: Closed"
2025-04-24T13:54:58.286246,Farmer's Fridge,"Located across from Au Bon Pain, 1007 West Harrison Street, Chicago",,,0.29,ChIJ7XG5GX4tDogRRfKzpoXonbI,"Monday: 7:00 AM – 8:00 PM
Tuesday: 7:00 AM – 8:00 PM
Wednesday: 7:00 AM – 8:00 PM
Thursday: 7:00 AM – 8:00 PM
Friday: 7:00 AM – 8:00 PM
Saturday: 7:00 AM – 8:00 PM
Sunday: 7:00 AM – 8:00 PM","Monday: 7:00 AM – 8:00 PM
Tuesday: 7:00 AM – 8:00 PM
Wednesday: 7:00 AM – 8:00 PM
Thursday: 7:00 AM – 8:00 PM
Friday: 7:00 AM – 8:00 PM
Saturday: 7:00 AM – 8:00 PM
Sunday: 7:00 AM – 8:00 PM"
2025-04-24T13:54:58.378991,Little Joe's,"1041 West Taylor Street, Chicago",4.4,,0.31,ChIJH9XYc-QsDogRu34A3VzLBBI,"Monday: 4:00 PM – 12:00 AM
Tuesday: 4:00 PM – 2:00 AM
Wednesday: 4:00 PM – 2:00 AM
Thursday: 3:00 PM – 2:00 AM
Friday: 3:00 PM – 2:00 AM
Saturday: 11:00 AM – 2:00 AM
Sunday: 11:00 AM – 12:00 AM","Monday: 4:00 PM – 12:00 AM
Tuesday: 4:00 PM – 2:00 AM
Wednesday: 4:00 PM – 2:00 AM
Thursday: 3:00 PM – 2:00 AM
Friday: 3:00 PM – 2:00 AM
Saturday: 11:00 AM – 2:00 AM
Sunday: 11:00 AM – 12:00 AM"
2025-04-24T13:54:58.476775,Giordano's,"815 West Van Buren Street, Chicago",4.5,,0.31,ChIJD2CpscIsDogRLMsW3tLKnME,"Monday: 11:00 AM – 10:00 PM
Tuesday: 11:00 AM – 10:00 PM
Wednesday: 11:00 AM – 10:00 PM
Thursday: 11:00 AM – 10:00 PM
Friday: 11:00 AM – 11:00 PM
Saturday: 11:00 AM – 11:00 PM
Sunday: 11:00 AM – 10:00 PM","Monday: 11:00 AM – 10:00 PM
Tuesday: 11:00 AM – 10:00 PM
Wednesday: 11:00 AM – 10:00 PM
Thursday: 11:00 AM – 10:00 PM
Friday: 11:00 AM – 11:00 PM
Saturday: 11:00 AM – 11:00 PM
Sunday: 11:00 AM – 10:00 PM"
2025-04-24T13:54:58.588406,La Katrina Auténtica,"1041 West Taylor Street, Chicago",4,,0.31,ChIJn6vXKUctDogRXonZhOkJtWs,"Monday: 4:00 PM – 12:00 AM
Tuesday: 4:00 PM – 12:00 AM
Wednesday: 4:00 PM – 12:00 AM
Thursday: 4:00 PM – 12:00 AM
Friday: 4:00 PM – 12:00 AM
Saturday: 11:00 AM – 1:00 AM
Sunday: 11:00 AM – 10:00 PM","Monday: 4:00 PM – 12:00 AM
Tuesday: 4:00 PM – 12:00 AM
Wednesday: 4:00 PM – 12:00 AM
Thursday: 4:00 PM – 12:00 AM
Friday: 4:00 PM – 12:00 AM
Saturday: 11:00 AM – 1:00 AM
Sunday: 11:00 AM – 10:00 PM"
2025-04-24T13:54:58.687035,Thai Bowl,"1049 West Taylor Street, Chicago",4.2,,0.32,ChIJIS2xdeQsDogR6lM4WLXiLG4,"Monday: 11:00 AM – 7:30 PM
Tuesday: 11:00 AM – 7:30 PM
Wednesday: 11:00 AM – 7:30 PM
Thursday: 11:00 AM – 7:30 PM
Friday: 11:00 AM – 7:30 PM
Saturday: 11:00 AM – 7:30 PM
Sunday: 11:00 AM – 7:30 PM","Monday: 11:00 AM – 7:30 PM
Tuesday: 11:00 AM – 7:30 PM
Wednesday: 11:00 AM – 7:30 PM
Thursday: 11:00 AM – 7:30 PM
Friday: 11:00 AM – 7:30 PM
Saturday: 11:00 AM – 7:30 PM
Sunday: 11:00 AM – 7:30 PM"
2025-04-24T13:54:58.854551,Tufano's Vernon Park Tap,"1073 West Vernon Park Place, Chicago",4.6,,0.32,ChIJYymCJOEsDogRkh7RJpjEk3k,"Monday: Closed
Tuesday: 11:00 AM – 9:00 PM
Wednesday: 11:00 AM – 9:00 PM
Thursday: 11:00 AM – 9:00 PM
Friday: 11:00 AM – 9:00 PM
Saturday: 4:00 – 9:30 PM
Sunday: 3:00 – 8:45 PM","Monday: Closed
Tuesday: 11:00 AM – 9:00 PM
Wednesday: 11:00 AM – 9:00 PM
Thursday: 11:00 AM – 9:00 PM
Friday: 11:00 AM – 9:00 PM
Saturday: 4:00 – 9:30 PM
Sunday: 3:00 – 8:45 PM"
